epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,862.898,1.23652,1.97661,1.40511,0.63797,0.56335,0.60766,0.34855,1.41483,1.77152,1.51852,0.0670957,0.000332367,0.000332367
2,1425.32,1.22714,1.38493,1.39783,0.64996,0.7364,0.8007,0.46769,1.35535,1.30489,1.49302,0.0340891,0.00065911,0.00065911
3,2031.94,1.1785,1.26649,1.37207,0.77589,0.81765,0.87177,0.54091,1.19408,1.10285,1.35277,0.00107587,0.000979253,0.000979253
4,2649.21,1.16488,1.10248,1.347,0.91105,0.82189,0.93151,0.59348,1.16832,0.89728,1.30985,0.0009703,0.0009703,0.0009703
5,3465.41,1.12276,1.00601,1.32484,0.79706,0.83002,0.87359,0.60572,0.96116,0.93091,1.22026,0.0009604,0.0009604,0.0009604
6,4579.26,1.10163,0.96692,1.30938,0.85504,0.90404,0.92544,0.64285,0.97997,0.78519,1.21348,0.0009505,0.0009505,0.0009505
7,5188.24,1.08709,0.91502,1.29814,0.87316,0.90415,0.93285,0.66272,0.96242,0.76086,1.19703,0.0009406,0.0009406,0.0009406
8,6206.48,1.09265,0.893,1.29923,0.88617,0.90955,0.94537,0.66744,0.96574,0.71885,1.20311,0.0009307,0.0009307,0.0009307
9,7242.28,1.05791,0.85422,1.27115,0.87347,0.89934,0.94006,0.6602,0.96086,0.73327,1.20645,0.0009208,0.0009208,0.0009208
10,7991.64,1.03335,0.8235,1.25712,0.83566,0.93126,0.93276,0.67647,0.92245,0.70888,1.1714,0.0009109,0.0009109,0.0009109
11,8752.48,1.01028,0.80997,1.25005,0.87376,0.96277,0.97312,0.70314,0.9492,0.62584,1.17126,0.000901,0.000901,0.000901
12,9510.77,1.02415,0.79369,1.25814,0.83267,0.88019,0.87572,0.63022,0.89355,0.8157,1.15404,0.0008911,0.0008911,0.0008911
13,10300.1,1.00207,0.78827,1.24466,0.93394,0.93306,0.97657,0.72034,0.87341,0.58803,1.12116,0.0008812,0.0008812,0.0008812
14,11103.2,1.00562,0.75954,1.25151,0.88485,0.94098,0.95944,0.74121,0.79026,0.58765,1.10116,0.0008713,0.0008713,0.0008713
15,13327.5,0.98593,0.73711,1.22953,0.89904,0.9409,0.955,0.7124,0.85021,0.59694,1.10947,0.0008614,0.0008614,0.0008614
16,14074.7,0.976,0.71652,1.22681,0.86447,0.93344,0.92628,0.68054,0.86846,0.65062,1.13401,0.0008515,0.0008515,0.0008515
17,14852,0.96897,0.72352,1.22774,0.91047,0.94451,0.95159,0.71496,0.86118,0.56648,1.1158,0.0008416,0.0008416,0.0008416
18,15645.2,0.97395,0.71161,1.22227,0.92033,0.94141,0.96936,0.7214,0.86594,0.56613,1.11993,0.0008317,0.0008317,0.0008317
